Datetime,Temperature (C),Precipitation (mm)
2026-08-01 00:00,26.3,0.0
2026-08-01 01:00,25.8,0.0
2026-08-01 02:00,25.5,0.0
2026-08-01 03:00,25.0,0.4
2026-08-01 04:00,24.7,0.0
2026-08-01 05:00,24.8,0.0
2026-08-01 06:00,24.2,0.0
2026-08-01 07:00,23.7,0.0
2026-08-01 08:00,23.8,0.0
2026-08-01 09:00,24.5,0.0
2026-08-01 10:00,25.9,0.0
2026-08-01 11:00,27.3,0.0
2026-08-01 12:00,28.9,0.0
2026-08-01 13:00,30.3,0.0
2026-08-01 14:00,31.4,0.0
2026-08-01 15:00,32.0,0.0
2026-08-01 16:00,32.4,0.0
2026-08-01 17:00,32.4,0.0
2026-08-01 18:00,32.3,0.0
2026-08-01 19:00,31.8,0.0
2026-08-01 20:00,30.9,0.0
2026-08-01 21:00,29.7,0.0
2026-08-01 22:00,28.6,0.0
2026-08-01 23:00,27.9,0.0
2026-08-02 00:00,26.5,0.0
2026-08-02 01:00,25.1,0.0
2026-08-02 02:00,24.3,0.0
2026-08-02 03:00,23.7,0.0
2026-08-02 04:00,23.3,0.0
2026-08-02 05:00,22.6,0.0
2026-08-02 06:00,22.0,0.0
2026-08-02 07:00,21.6,0.0
2026-08-02 08:00,22.2,0.0
2026-08-02 09:00,23.6,0.0
2026-08-02 10:00,25.6,0.0
2026-08-02 11:00,27.8,0.0
2026-08-02 12:00,30.1,0.0
2026-08-02 13:00,32.7,0.0
2026-08-02 14:00,35.1,0.0
2026-08-02 15:00,36.2,0.0
2026-08-02 16:00,36.9,0.0
2026-08-02 17:00,37.2,0.0
2026-08-02 18:00,37.2,0.0
2026-08-02 19:00,36.5,0.0
2026-08-02 20:00,35.6,0.0
2026-08-02 21:00,33.6,0.0
2026-08-02 22:00,31.5,0.0
2026-08-02 23:00,28.5,0.0
2026-08-03 00:00,26.6,0.0
2026-08-03 01:00,26.1,0.0
2026-08-03 02:00,25.6,0.0
2026-08-03 03:00,25.0,0.0
2026-08-03 04:00,24.6,0.0
2026-08-03 05:00,24.5,0.0
2026-08-03 06:00,24.6,0.0
2026-08-03 07:00,24.7,0.0
2026-08-03 08:00,25.9,0.0
2026-08-03 09:00,28.1,0.0
2026-08-03 10:00,30.3,0.0
2026-08-03 11:00,32.4,0.0
2026-08-03 12:00,34.1,0.0
2026-08-03 13:00,35.9,0.0
2026-08-03 14:00,38.3,0.0
2026-08-03 15:00,38.4,0.0
2026-08-03 16:00,37.3,0.1
2026-08-03 17:00,35.1,0.4
2026-08-03 18:00,35.1,0.0
2026-08-03 19:00,35.1,0.0
2026-08-03 20:00,34.3,0.0
2026-08-03 21:00,31.6,0.0
2026-08-03 22:00,28.8,0.0
2026-08-03 23:00,27.5,0.0
2026-08-04 00:00,26.8,0.0
2026-08-04 01:00,26.2,0.0
2026-08-04 02:00,26.1,0.0
2026-08-04 03:00,25.2,0.0
2026-08-04 04:00,24.1,0.0
2026-08-04 05:00,23.4,0.0
2026-08-04 06:00,23.4,0.0
2026-08-04 07:00,23.8,0.0
2026-08-04 08:00,24.6,0.0
2026-08-04 09:00,25.9,0.0
2026-08-04 10:00,27.6,0.0
2026-08-04 11:00,29.2,0.0
2026-08-04 12:00,30.7,0.0
2026-08-04 13:00,32.2,0.0
2026-08-04 14:00,32.8,0.0
2026-08-04 15:00,32.3,0.3
2026-08-04 16:00,31.0,0.3
2026-08-04 17:00,29.8,0.3
2026-08-04 18:00,29.3,0.0
2026-08-04 19:00,28.9,0.0
2026-08-04 20:00,28.4,0.0
2026-08-04 21:00,27.5,0.0
